Occupation,Year,Rank,,,,,,,,,,,,,,,,,,,,,
Cooks,2010,2,,,,,,,,,,,,,,,,,,,,,
Cooks,2011,2,,,,,,,,,,,,,,,,,,,,,
Cooks,2012,1,,,,,,,,,,,,,,,,,,,,,
Cooks,2013,1,,,,,,,,,,,,,,,,,,,,,
Cooks,2014,1,,,,,,,,,,,,,,,,,,,,,
Cooks,2015,1,,,,,,,,,,,,,,,,,,,,,
Cooks,2016,1,,,,,,,,,,,,,,,,,,,,,
Cooks,2017,1,,,,,,,,,,,,,,,,,,,,,
Cooks,2018,1,,,,,,,,,,,,,,,,,,,,,
Cooks,2019,1,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2010,3,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2011,5,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2012,6,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2013,9,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2014,9,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2015,9,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2016,9,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2017,5,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2018,5,,,,,,,,,,,,,,,,,,,,,
Software and Applications Programmers,2019,2,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2010,10,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2011,10,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2012,9,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2013,5,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2014,4,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2015,2,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2016,2,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2017,3,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2018,3,,,,,,,,,,,,,,,,,,,,,
Cafe and Restaurant Managers,2019,3,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2010,7,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2011,7,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2012,8,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2013,4,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2014,6,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2015,8,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2016,7,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2017,4,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2018,4,,,,,,,,,,,,,,,,,,,,,
University Lecturers and Tutors,2019,4,,,,,,,,,,,,,,,,,,,,,
Chefs,2010,5,,,,,,,,,,,,,,,,,,,,,
Chefs,2011,4,,,,,,,,,,,,,,,,,,,,,
Chefs,2012,4,,,,,,,,,,,,,,,,,,,,,
Chefs,2013,7,,,,,,,,,,,,,,,,,,,,,
Chefs,2014,7,,,,,,,,,,,,,,,,,,,,,
Chefs,2015,5,,,,,,,,,,,,,,,,,,,,,
Chefs,2016,5,,,,,,,,,,,,,,,,,,,,,
Chefs,2017,8,,,,,,,,,,,,,,,,,,,,,
Chefs,2018,6,,,,,,,,,,,,,,,,,,,,,
Chefs,2019,5,,,,,,,,,,,,,,,,,,,,,
Accountants,2010,8,,,,,,,,,,,,,,,,,,,,,
Accountants,2011,8,,,,,,,,,,,,,,,,,,,,,
Accountants,2012,7,,,,,,,,,,,,,,,,,,,,,
Accountants,2013,8,,,,,,,,,,,,,,,,,,,,,
Accountants,2014,8,,,,,,,,,,,,,,,,,,,,,
Accountants,2015,7,,,,,,,,,,,,,,,,,,,,,
Accountants,2016,6,,,,,,,,,,,,,,,,,,,,,
Accountants,2017,6,,,,,,,,,,,,,,,,,,,,,
Accountants,2018,7,,,,,,,,,,,,,,,,,,,,,
Accountants,2019,6,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2010,4,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2011,6,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2012,5,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2013,3,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2014,3,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2015,3,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2016,3,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2017,2,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2018,2,,,,,,,,,,,,,,,,,,,,,
Advertising and Marketing Professionals,2019,7,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2010,1,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2011,1,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2012,2,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2013,2,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2014,2,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2015,6,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2016,8,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2017,9,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2018,10,,,,,,,,,,,,,,,,,,,,,
Registered Nurses,2019,8,,,,,,,,,,,,,,,,,,,,,
ICT Business and Systems Analysts,2010,9,,,,,,,,,,,,,,,,,,,,,
ICT Business and Systems Analysts,2011,9,,,,,,,,,,,,,,,,,,,,,
ICT Business and Systems Analysts,2012,10,,,,,,,,,,,,,,,,,,,,,
ICT Business and Systems Analysts,2013,10,,,,,,,,,,,,,,,,,,,,,
ICT Business and Systems Analysts,2014,10,,,,,,,,,,,,,,,,,,,,,
ICT Business and Systems Analysts,2015,10,,,,,,,,,,,,,,,,,,,,,
ICT Business and Systems Analysts,2016,10,,,,,,,,,,,,,,,,,,,,,
