Visa,State,Year,Number
Skilled,Australian Capital Territory,2000,763
Skilled,Australian Capital Territory,2001,883
Skilled,Australian Capital Territory,2002,812
Skilled,Australian Capital Territory,2003,1156
Skilled,Australian Capital Territory,2004,1280
Skilled,Australian Capital Territory,2005,1289
Skilled,Australian Capital Territory,2006,1556
Skilled,Australian Capital Territory,2007,1706
Skilled,Australian Capital Territory,2008,2297
Skilled,Australian Capital Territory,2009,2256
Skilled,Australian Capital Territory,2010,1403
Skilled,Australian Capital Territory,2011,1694
Skilled,Australian Capital Territory,2012,1510
Skilled,Australian Capital Territory,2013,1222
Skilled,Australian Capital Territory,2014,1245
Skilled,Australian Capital Territory,2015,920
Family,Australian Capital Territory,2000,411
Family,Australian Capital Territory,2001,414
Family,Australian Capital Territory,2002,457
Family,Australian Capital Territory,2003,542
Family,Australian Capital Territory,2004,489
Family,Australian Capital Territory,2005,613
Family,Australian Capital Territory,2006,675
Family,Australian Capital Territory,2007,759
Family,Australian Capital Territory,2008,828
Family,Australian Capital Territory,2009,893
Family,Australian Capital Territory,2010,769
Family,Australian Capital Territory,2011,812
Family,Australian Capital Territory,2012,810
Family,Australian Capital Territory,2013,721
Family,Australian Capital Territory,2014,718
Family,Australian Capital Territory,2015,495
Humanitarian,Australian Capital Territory,2000,100
Humanitarian,Australian Capital Territory,2001,92
Humanitarian,Australian Capital Territory,2002,126
Humanitarian,Australian Capital Territory,2003,142
Humanitarian,Australian Capital Territory,2004,185
Humanitarian,Australian Capital Territory,2005,171
Humanitarian,Australian Capital Territory,2006,200
Humanitarian,Australian Capital Territory,2007,205
Humanitarian,Australian Capital Territory,2008,216
Humanitarian,Australian Capital Territory,2009,189
Humanitarian,Australian Capital Territory,2010,152
Humanitarian,Australian Capital Territory,2011,124
Humanitarian,Australian Capital Territory,2012,80
Humanitarian,Australian Capital Territory,2013,114
Humanitarian,Australian Capital Territory,2014,105
Humanitarian,Australian Capital Territory,2015,96
Skilled,New South Wales,2000,14784
Skilled,New South Wales,2001,15053
Skilled,New South Wales,2002,14542
Skilled,New South Wales,2003,18215
Skilled,New South Wales,2004,21355
Skilled,New South Wales,2005,22734
Skilled,New South Wales,2006,26098
Skilled,New South Wales,2007,31651
Skilled,New South Wales,2008,33292
Skilled,New South Wales,2009,24878
Skilled,New South Wales,2010,20503
Skilled,New South Wales,2011,20184
Skilled,New South Wales,2012,20274
Skilled,New South Wales,2013,16609
Skilled,New South Wales,2014,13941
Skilled,New South Wales,2015,12530
Family,New South Wales,2000,12117
Family,New South Wales,2001,11262
Family,New South Wales,2002,11091
Family,New South Wales,2003,12044
Family,New South Wales,2004,13058
Family,New South Wales,2005,13968
Family,New South Wales,2006,15510
Family,New South Wales,2007,16331
Family,New South Wales,2008,18209
Family,New South Wales,2009,17592
Family,New South Wales,2010,15731
Family,New South Wales,2011,15470
Family,New South Wales,2012,15248
Family,New South Wales,2013,15303
Family,New South Wales,2014,12986
Family,New South Wales,2015,10833
Humanitarian,New South Wales,2000,3857
Humanitarian,New South Wales,2001,3298
Humanitarian,New South Wales,2002,2899
Humanitarian,New South Wales,2003,3396
Humanitarian,New South Wales,2004,3110
Humanitarian,New South Wales,2005,3651
Humanitarian,New South Wales,2006,3432
Humanitarian,New South Wales,2007,3305
Humanitarian,New South Wales,2008,3921
Humanitarian,New South Wales,2009,4596
Humanitarian,New South Wales,2010,3779
Humanitarian,New South Wales,2011,4430
Humanitarian,New South Wales,2012,3593
Humanitarian,New South Wales,2013,4840
Humanitarian,New South Wales,2014,4508
Humanitarian,New South Wales,2015,3013
Skilled,Northern Territory,2000,155
Skilled,Northern Territory,2001,164
Skilled,Northern Territory,2002,169
Skilled,Northern Territory,2003,232
Skilled,Northern Territory,2004,280
Skilled,Northern Territory,2005,479
Skilled,Northern Territory,2006,827
Skilled,Northern Territory,2007,1180
Skilled,Northern Territory,2008,1495
Skilled,Northern Territory,2009,1393
Skilled,Northern Territory,2010,1018
Skilled,Northern Territory,2011,1053
Skilled,Northern Territory,2012,1066
Skilled,Northern Territory,2013,827
Skilled,Northern Territory,2014,671
Skilled,Northern Territory,2015,665
Family,Northern Territory,2000,176
Family,Northern Territory,2001,165
Family,Northern Territory,2002,167
Family,Northern Territory,2003,188
Family,Northern Territory,2004,217
Family,Northern Territory,2005,215
Family,Northern Territory,2006,280
Family,Northern Territory,2007,337
Family,Northern Territory,2008,405
Family,Northern Territory,2009,464
Family,Northern Territory,2010,417
Family,Northern Territory,2011,483
Family,Northern Territory,2012,478
Family,Northern Territory,2013,503
Family,Northern Territory,2014,420
Family,Northern Territory,2015,328
Humanitarian,Northern Territory,2000,23
Humanitarian,Northern Territory,2001,30
Humanitarian,Northern Territory,2002,48
Humanitarian,Northern Territory,2003,40
Humanitarian,Northern Territory,2004,82
Humanitarian,Northern Territory,2005,92
Humanitarian,Northern Territory,2006,70
Humanitarian,Northern Territory,2007,76
Humanitarian,Northern Territory,2008,67
Humanitarian,Northern Territory,2009,66
Humanitarian,Northern Territory,2010,110
Humanitarian,Northern Territory,2011,101
Humanitarian,Northern Territory,2012,35
Humanitarian,Northern Territory,2013,101
Humanitarian,Northern Territory,2014,29
Humanitarian,Northern Territory,2015,22
Skilled,Queensland,2000,5185
Skilled,Queensland,2001,6491
Skilled,Queensland,2002,6715
Skilled,Queensland,2003,9030
Skilled,Queensland,2004,9704
Skilled,Queensland,2005,11992
Skilled,Queensland,2006,15810
Skilled,Queensland,2007,19360
