Year,Industry,Number
2007,Accommodation and Food Services,484
2007,Administrative and Support Services,70
2007,"Agriculture, Forestry and Fishing",171
2007,Arts and Recreation Services,505
2007,Construction,497
2007,Education and Training,573
2007,"Electricity, Gas, Water and Waste Services",268
2007,Financial and Insurance Services,415
2007,Health Care and Social Assistance,1948
2007,Information Media and Telecommunications,573
2007,Manufacturing,712
2007,Mining,405
2007,Other Services,896
2007,"Professional, Scientific and Technical Services",534
2007,Public Administration and Safety,453
2007,"Rental, Hiring and Real Estate Services",284
2007,Retail Trade,296
2007,Transport Postal and Warehousing,113
2007,Wholesale Trade,148
2008,Accommodation and Food Services,839
2008,Administrative and Support Services,134
2008,"Agriculture, Forestry and Fishing",330
2008,Arts and Recreation Services,418
2008,Construction,1002
2008,Education and Training,791
2008,"Electricity, Gas, Water and Waste Services",363
2008,Financial and Insurance Services,562
2008,Health Care and Social Assistance,3207
2008,Information Media and Telecommunications,725
2008,Manufacturing,1390
2008,Mining,786
2008,Other Services,1429
2008,"Professional, Scientific and Technical Services",895
2008,Public Administration and Safety,407
2008,"Rental, Hiring and Real Estate Services",385
2008,Retail Trade,485
2008,Transport Postal and Warehousing,242
2008,Wholesale Trade,246
2009,Accommodation and Food Services,1277
2009,Administrative and Support Services,105
2009,"Agriculture, Forestry and Fishing",553
2009,Arts and Recreation Services,234
2009,Construction,1225
2009,Education and Training,838
2009,"Electricity, Gas, Water and Waste Services",355
2009,Financial and Insurance Services,514
2009,Health Care and Social Assistance,3402
2009,Information Media and Telecommunications,806
2009,Manufacturing,1733
2009,Mining,876
2009,Other Services,1767
2009,"Professional, Scientific and Technical Services",933
2009,Public Administration and Safety,292
2009,"Rental, Hiring and Real Estate Services",300
2009,Retail Trade,525
2009,Transport Postal and Warehousing,255
2009,Wholesale Trade,273
2010,Accommodation and Food Services,1978
2010,Administrative and Support Services,108
2010,"Agriculture, Forestry and Fishing",652
2010,Arts and Recreation Services,203
2010,Construction,1535
2010,Education and Training,1021
2010,"Electricity, Gas, Water and Waste Services",378
2010,Financial and Insurance Services,699
2010,Health Care and Social Assistance,3213
2010,Information Media and Telecommunications,1074
2010,Manufacturing,1802
2010,Mining,939
2010,Other Services,2158
2010,"Professional, Scientific and Technical Services",1237
2010,Public Administration and Safety,140
2010,"Rental, Hiring and Real Estate Services",312
2010,Retail Trade,754
2010,Transport Postal and Warehousing,288
2010,Wholesale Trade,260
2011,Accommodation and Food Services,3122
2011,Administrative and Support Services,87
2011,"Agriculture, Forestry and Fishing",601
2011,Arts and Recreation Services,184
2011,Construction,1717
2011,Education and Training,1016
2011,"Electricity, Gas, Water and Waste Services",331
2011,Financial and Insurance Services,515
2011,Health Care and Social Assistance,3301
2011,Information Media and Telecommunications,962
2011,Manufacturing,1774
2011,Mining,852
2011,Other Services,2648
2011,"Professional, Scientific and Technical Services",1202
2011,Public Administration and Safety,295
2011,"Rental, Hiring and Real Estate Services",234
2011,Retail Trade,989
2011,Transport Postal and Warehousing,286
2011,Wholesale Trade,258
2012,Accommodation and Food Services,3797
2012,Administrative and Support Services,118
2012,"Agriculture, Forestry and Fishing",638
2012,Arts and Recreation Services,304
2012,Construction,1760
2012,Education and Training,928
2012,"Electricity, Gas, Water and Waste Services",332
2012,Financial and Insurance Services,605
2012,Health Care and Social Assistance,2772
2012,Information Media and Telecommunications,1034
2012,Manufacturing,1690
2012,Mining,755
2012,Other Services,3077
2012,"Professional, Scientific and Technical Services",1462
