Year,Visa Category,Number
2010,Skilled,113725
2011,Skilled,125755
2012,Skilled,128973
2013,Skilled,128550
2014,Skilled,127774
2015,Skilled,128550
2016,Skilled,123567
2017,Skilled,111099
2018,Skilled,109713
2019,Skilled,95843
2010,Family,54543
2011,Family,58604
2012,Family,60185
2013,Family,61112
2014,Family,61085
2015,Family,57400
2016,Family,56220
2017,Family,47732
2018,Family,47247
2019,Family,41961
2010,Humanitarian,13799
2011,Humanitarian,13756
2012,Humanitarian,20022
2013,Humanitarian,13768
2014,Humanitarian,13759
2015,Humanitarian,17555
2016,Humanitarian,21968
2017,Humanitarian,16250
2018,Humanitarian,18762
2019,Humanitarian,13171
