Type,Rate,Date
Born in Australia,4.3562,8/1/2021
Born overseas,4.9917,8/1/2021
Born in Australia,4.462,7/1/2021
Born overseas,4.8293,7/1/2021
Born in Australia,4.7363,6/1/2021
Born overseas,4.9931,6/1/2021
Born in Australia,5.0413,5/1/2021
Born overseas,4.8481,5/1/2021
Born in Australia,5.2899,4/1/2021
Born overseas,5.9822,4/1/2021
Born in Australia,5.7974,3/1/2021
Born overseas,6.3587,3/1/2021
Born in Australia,6.1095,2/1/2021
Born overseas,6.5956,2/1/2021
Born in Australia,6.8452,1/1/2021
Born overseas,6.8501,1/1/2021
Born in Australia,5.9177,12/1/2020
Born overseas,7.0611,12/1/2020
Born in Australia,6.2156,11/1/2020
Born overseas,6.6441,11/1/2020
Born in Australia,6.3648,10/1/2020
Born overseas,7.2379,10/1/2020
Born in Australia,6.5237,9/1/2020
Born overseas,7.2031,9/1/2020
Born in Australia,6.6606,8/1/2020
Born overseas,7.2055,8/1/2020
Born in Australia,7.2012,7/1/2020
Born overseas,7.7762,7/1/2020
Born in Australia,6.8283,6/1/2020
Born overseas,8.086,6/1/2020
Born in Australia,6.5013,5/1/2020
Born overseas,7.7883,5/1/2020
Born in Australia,6.0961,4/1/2020
Born overseas,7.0849,4/1/2020
Born in Australia,5.4259,3/1/2020
Born overseas,5.8372,3/1/2020
Born in Australia,5.4165,2/1/2020
Born overseas,5.7066,2/1/2020
Born in Australia,5.5746,1/1/2020
Born overseas,5.954,1/1/2020
Born in Australia,4.7243,12/1/2019
Born overseas,5.0992,12/1/2019
Born in Australia,4.7948,11/1/2019
Born overseas,4.7767,11/1/2019
Born in Australia,4.8948,10/1/2019
Born overseas,5.367,10/1/2019
Born in Australia,4.9277,9/1/2019
Born overseas,5.4057,9/1/2019
Born in Australia,5.1065,8/1/2019
Born overseas,5.5998,8/1/2019
Born in Australia,5.0835,7/1/2019
Born overseas,5.3557,7/1/2019
Born in Australia,4.8733,6/1/2019
Born overseas,5.568,6/1/2019
Born in Australia,4.994,5/1/2019
Born overseas,5.3236,5/1/2019
Born in Australia,5.206,4/1/2019
Born overseas,5.4034,4/1/2019
Born in Australia,5.3297,3/1/2019
Born overseas,5.5954,3/1/2019
Born in Australia,5.2197,2/1/2019
Born overseas,5.7253,2/1/2019
Born in Australia,5.4517,1/1/2019
Born overseas,5.4538,1/1/2019
Born in Australia,4.8396,12/1/2018
Born overseas,4.7422,12/1/2018
Born in Australia,4.7097,11/1/2018
Born overseas,4.8242,11/1/2018
Born in Australia,4.7615,10/1/2018
Born overseas,4.7937,10/1/2018
Born in Australia,4.8094,9/1/2018
Born overseas,5.0604,9/1/2018
Born in Australia,5.1393,8/1/2018
Born overseas,5.5642,8/1/2018
Born in Australia,5.0962,7/1/2018
Born overseas,5.431,7/1/2018
Born in Australia,5.1359,6/1/2018
Born overseas,5.2559,6/1/2018
Born in Australia,5.2175,5/1/2018
Born overseas,5.4478,5/1/2018
Born in Australia,5.5214,4/1/2018
Born overseas,5.7189,4/1/2018
Born in Australia,5.8234,3/1/2018
Born overseas,5.9416,3/1/2018
Born in Australia,6.0693,2/1/2018
Born overseas,5.979,2/1/2018
Born in Australia,6.0187,1/1/2018
Born overseas,5.8311,1/1/2018
Born in Australia,5.4397,12/1/2017
